track.name,name,cluster
2K,Nosaj Thing,8
4 Billion Souls,The Doors,7
4 Minute Warning,Radiohead,2
7 Element,Vitas,0
#9 Dream,R.E.M.,6
#9 Dream,a-ha,6
10 Lovers,The Black Keys,0
11th Dimension,Julian Casablancas,0
12:51,The Strokes,5
12:51,The Strokes,5
12 Bar Original - Anthology 2 Version,The Beatles,6
15 Minutes,The Strokes,6
15 Step,Radiohead,6
17,Perfume Genius,2
21 Gun Salute,Half Moon Run,2
22h22,Ariane Moffatt,2
28 Jours,Karkwa,2
39,Vinnie Who,0
50/50,The Strokes,0
50 Shades of Beige,Radio Radio,6
80's Comedown Machine,The Strokes,1
96.7 The Pipe,Mac DeMarco,3
106.2 Breeze FM,Mac DeMarco,3
143 (Kelly's song) 2011,Jake Shimabukuro,2
400 Lux,Lorde,7
1517,The Whitest Boy Alive,0
1990 - Danse Mix,Jean Leloup,6
2024,Cage The Elephant,7
A-Punk,Vampire Weekend,7
The Abduction,John Williams,2
Aberdeen,Cage The Elephant,7
Above You,The Whitest Boy Alive,0
Abraham,Sufjan Stevens,2
Across The Universe - Take 2 / Anthology 2 Version,The Beatles,2
Across The Universe - World Wildlife Fund Version / Remastered 2009,The Beatles,2
Across The Universe - Remastered 2009,The Beatles,7
Across The Universe - Remastered 2009,The Beatles,7
Act Naturally - Remastered 2009,The Beatles,6
Ad Lib Blues,Lester Young,2
Ad Lib Blues,Oscar Peterson Trio,2
Addicted,Amy Winehouse,6
Adult Diversion,Alvvays,7
Adventures in Your Own Backyard,Patrick Watson,8
Aerodynamic,Daft Punk,1
Afraid of Time,Hans Zimmer,8
Afterlife,Arcade Fire,6
Ah Holy Jesus,Sufjan Stevens,2
Ah Holy Jesus (a capella),Sufjan Stevens,2
Ah Holy Jesus (with reed organ),Sufjan Stevens,2
Ain't No Rest For The Wicked,Cage The Elephant,5
Ain't She Sweet - Anthology 1 Version,The Beatles,6
Ain't She Sweet - Anthology 3 Version,The Beatles,6
Airbag,Radiohead,7
À La Chaîne,Karkwa,7
Alaska,Karkwa,8
Alger,Jean Leloup,6
Aliens,FLEECE,8
Alive,Daft Punk,1
Alive,Daft Punk,1
All About Us,Brazilian Girls,0
All Alone,Humble Braggers,7
All Ears,The Whitest Boy Alive,2
All Goes Wrong,Nick Galemore,1
All I Ever Wanted,Vance Joy,6
All I Need,Radiohead,2
All I've Ever Known,Bahamas,2
All I've Got To Do - Remastered 2009,The Beatles,0
All Is Full of Love,Björk,7
All My Loving,Rita Lee,2
All My Loving - Anthology 1 Version,The Beatles,7
All My Loving - Live / Remastered,The Beatles,5
All My Loving - Remastered 2009,The Beatles,0
All Night Long,LMFAO,0
All Night Long,Lisa,0
All Night Long (All Night) - Single Version,Lionel Richie,6
All Of The Time,Plants and Animals,0
All That I Am,WhoMadeWho,6
All The Time,Bahamas,0
All The Time,The Strokes,7
All the Trees of the Field Will Clap Their Hands,Sufjan Stevens,2
All These Things That I've Done,The Killers,6
All Things Must Pass - Anthology 3 Version,The Beatles,8
All Time Favourite,Bahamas,2
All Together Now - Remastered 2009,The Beatles,5
All Waters,Perfume Genius,2
All We Have,Brazilian Girls,1
All You Need Is Love,The Beatles,6
All You Need Is Love - Remastered 2009,The Beatles,6
All You Need Is Love - Remastered 2009,The Beatles,6
All You Need Is Love - Remastered 2009,The Beatles,6
All You Need Is Love - Remastered 2015,The Beatles,6
All Yours,Ariane Moffatt,6
Almost Like Being In Love,Lester Young,2
Almost Like Being In Love,Oscar Peterson Trio,2
"Alone, Together",The Strokes,1
"Alone, Together",The Strokes,1
Alphabet St.,Sufjan Stevens,6
Already Yours,Bahamas,2
Alter Ego,Tame Impala,7
Always Alright,Alabama Shakes,1
Always Something,Cage The Elephant,0
Always Waiting,Michael Kiwanuka,2
Am I Wrong,They Call Me Rico,6
AM Theme,Other Lives,8
The Amazing Sounds of Orgy,Radiohead,1
Amber,Electric Guest,0
Ambulance,TRICOT MACHINE,0
Amenamy,Purity Ring,7
American Boy (feat. Kanye West),Estelle,3
American Boy (feat. Kanye West),Kanye West,3
American Daydream,Electric Guest,0
Amsterdam,Coldplay,2
And I Love Her - Anthology 1 Version,The Beatles,0
And I Love Her - Remastered 2009,The Beatles,2
And Your Bird Can Sing - Take 2 / Anthology 2 Version,The Beatles,7
And Your Bird Can Sing - Remastered 2009,The Beatles,6
"Andy, You're A Star",The Killers,0
Angel of Small Death and the Codeine Scene,Hozier,7
Angel of Small Death and the Codeine Scene,Hozier,6
Angel of Small Death and the Codeine Scene - Live From Spotify London,Hozier,2
Angela,The Lumineers,2
Angels We Have Heard On High,Sufjan Stevens,2
Angels We Have Heard On High,Sufjan Stevens,2
Animal,Miike Snow,0
Animal,Miike Snow,0
Animal - Mark Ronson Extended Remix,Miike Snow,5
